best,最好的
north,北；北方；北部
south,南；南方；南部
rest,休息
have a rest,休息一下
country,国家
speak,说（某种语言）
capital,首都
maybe,也许，大概
map,地图
because,因为
language,语言
Australian,澳大利亚的
*kangaroo,袋鼠
back,后面的
postcard,明信片
plan,计划
museum,博物馆
restaurant,餐馆，饭店
