Chinese,汉语，中文；语文课
weren't,不是（= were not）
art,美术；艺术；美术课
wasn't,不是（= was not）
report,成绩报告单
fun,有趣的事
try,尝试，试图
second,第二
floor,层
were,是（are的过去式）
worried,担忧的；焦虑的
young,年轻的
beautiful,漂亮的，美丽的
find,发现，找到
was,是（is的过去式）
first,第一
also,也可
remember,记起；回想起
then,那时
Mother's Day,母亲节
vegetable,蔬菜
who,谁
last,上一个
grandparent,（外）祖父；（外）祖母
old,老的，年老的
yesterday,昨天
